2018-05-02 10:56:10 [Agent.cpp:206-pid(13232)] DEBUG  -  agent service remove entry
2018-05-02 11:12:06 [HttpClient.cpp:338-pid(2108)] ERROR  -  reponse before.
2018-05-02 11:12:06 [HttpClient.cpp:342-pid(2108)] ERROR  -  reponse after.
2018-05-02 11:12:07 [HttpClient.cpp:338-pid(2108)] ERROR  -  reponse before.
2018-05-02 11:12:07 [HttpClient.cpp:342-pid(2108)] ERROR  -  reponse after.
2018-05-02 11:14:04 [HttpClient.cpp:338-pid(2108)] ERROR  -  reponse before.
2018-05-02 11:14:04 [HttpClient.cpp:342-pid(2108)] ERROR  -  reponse after.
2018-05-02 11:14:05 [HttpClient.cpp:338-pid(2108)] ERROR  -  reponse before.
2018-05-02 11:14:05 [HttpClient.cpp:342-pid(2108)] ERROR  -  reponse after.
2018-05-02 11:14:13 [HttpClient.cpp:338-pid(2108)] ERROR  -  reponse before.
2018-05-02 11:14:13 [HttpClient.cpp:342-pid(2108)] ERROR  -  reponse after.
2018-05-02 11:14:14 [HttpClient.cpp:338-pid(2108)] ERROR  -  reponse before.
2018-05-02 11:14:14 [HttpClient.cpp:342-pid(2108)] ERROR  -  reponse after.
2018-05-08 12:21:35 [HttpClient.cpp:338-pid(3400)] ERROR  -  reponse before.
2018-05-08 12:21:35 [HttpClient.cpp:342-pid(3400)] ERROR  -  reponse after.
2018-05-08 12:21:35 [HttpClient.cpp:338-pid(3400)] ERROR  -  reponse before.
2018-05-08 12:21:35 [HttpClient.cpp:342-pid(3400)] ERROR  -  reponse after.
2018-05-10 19:51:44 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-10 19:51:44 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-10 19:51:45 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-10 19:51:45 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 11:42:25 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-11 11:42:25 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 11:42:25 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-11 11:42:25 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 11:50:08 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-11 11:50:08 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 11:50:08 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-11 11:50:08 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 11:54:36 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-11 11:54:36 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 11:54:36 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-11 11:54:36 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 13:24:01 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-11 13:24:01 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 13:24:01 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-11 13:24:01 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 13:24:14 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-11 13:24:14 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 13:24:15 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-11 13:24:15 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 13:24:31 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-11 13:24:31 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 13:24:32 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-11 13:24:32 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 13:25:36 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-11 13:25:36 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 13:25:36 [HttpClient.cpp:338-pid(3220)] ERROR  -  reponse before.
2018-05-11 13:25:36 [HttpClient.cpp:342-pid(3220)] ERROR  -  reponse after.
2018-05-11 16:26:19 [ServerPipe.cpp:237-pid(3220)] ERROR  -  WriteFile error(232)(0xE8)
2018-05-11 16:26:19 [HttpClient.cpp:357-pid(3220)] ERROR  -  handle data error(1)(0x1
2018-05-11 16:26:19 [HttpClient.cpp:161-pid(3220)] ERROR  -  http client run error(1)(0x1)
2018-05-12 15:21:25 [HttpClient.cpp:338-pid(3516)] ERROR  -  reponse before.
2018-05-12 15:21:25 [HttpClient.cpp:342-pid(3516)] ERROR  -  reponse after.
2018-05-12 15:21:25 [HttpClient.cpp:338-pid(3516)] ERROR  -  reponse before.
2018-05-12 15:21:25 [HttpClient.cpp:342-pid(3516)] ERROR  -  reponse after.
